local_date,target_max_temp,temperature_2m_min,temperature_2m_max,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_mean,wind_speed_10m_max,precipitation_sum,cloud_cover_mean
2024-08-18,25.0,15.9,24.6,18.995833333333334,76.45833333333333,2.1425,5.72,0.8,54.666666666666664
2024-08-19,24.0,12.1,23.8,17.783333333333335,67.45833333333333,1.9425,3.79,0.0,36.625
2024-08-20,19.0,14.7,19.2,16.595833333333335,83.45833333333333,1.7033333333333334,2.24,3.6,75.875
2024-08-21,21.0,13.9,20.3,16.712500000000002,81.08333333333333,1.7170833333333333,3.02,0.0,86.79166666666667
2024-08-22,21.0,13.9,20.9,17.5125,77.70833333333333,1.2758333333333334,2.35,0.30000000000000004,83.66666666666667
2024-08-23,15.0,12.5,16.1,13.916666666666666,94.20833333333333,2.505,4.62,6.8,99.625
2024-08-24,16.0,12.2,15.8,13.604166666666666,90.625,3.7429166666666664,5.15,7.0,99.95833333333333
2024-08-25,22.0,12.9,22.5,17.125,73.41666666666667,1.8016666666666667,2.75,0.0,50.25
2024-08-26,21.0,12.0,21.7,17.0125,75.875,1.4616666666666667,3.5,0.1,60.416666666666664
2024-08-27,19.0,12.6,19.5,15.341666666666667,73.5,2.555,4.25,0.5,64.29166666666667
2024-08-28,21.0,8.8,20.4,14.795833333333334,67.125,2.1283333333333334,4.01,0.0,2.0
2024-08-29,26.0,10.8,25.1,17.525000000000002,68.08333333333333,2.61625,3.58,0.0,2.1666666666666665
2024-08-30,28.0,13.2,27.8,20.370833333333334,64.58333333333333,2.0820833333333333,2.8,0.0,2.0833333333333335
2024-08-31,29.0,14.6,28.6,21.558333333333334,64.08333333333333,2.1912499999999997,3.62,0.0,0.9166666666666666
2024-09-01,27.0,15.5,27.8,21.325,68.83333333333333,1.7008333333333334,3.38,0.0,24.916666666666668
2024-09-02,21.0,15.5,19.7,17.233333333333334,83.45833333333333,2.3091666666666666,3.22,0.0,96.875
2024-09-03,22.0,14.8,21.5,17.679166666666667,78.41666666666667,1.4579166666666667,2.3,0.0,67.75
2024-09-04,26.0,13.7,25.5,18.75,77.66666666666667,2.3537500000000002,3.13,0.0,34.0
2024-09-05,32.0,14.7,32.4,22.90833333333333,62.583333333333336,1.9937500000000001,3.47,0.0,2.9166666666666665
2024-09-06,31.0,16.8,30.9,23.291666666666668,60.708333333333336,2.0708333333333333,3.65,0.0,1.9166666666666667
2024-09-07,24.0,17.0,25.7,21.695833333333336,61.958333333333336,1.5329166666666667,2.38,0.0,39.333333333333336
2024-09-08,23.0,15.1,23.7,18.495833333333334,79.79166666666667,2.4133333333333336,3.22,0.0,37.833333333333336
2024-09-09,19.0,14.9,19.7,16.833333333333332,82.625,1.6970833333333333,2.52,0.0,75.79166666666667
2024-09-10,21.0,13.6,21.3,16.283333333333335,75.79166666666667,2.0195833333333333,3.32,0.1,74.20833333333333
2024-09-11,19.0,12.2,18.8,14.9,86.125,1.6600000000000001,3.41,7.2,85.91666666666667
2024-09-12,20.0,12.2,19.9,15.558333333333332,80.29166666666667,1.4670833333333333,2.68,0.0,63.166666666666664
2024-09-13,18.0,11.0,18.1,14.450000000000001,79.75,1.6524999999999999,2.34,0.0,83.25
2024-09-14,19.0,13.3,19.3,14.770833333333334,88.66666666666667,2.02,2.94,1.3,99.5
2024-09-15,18.0,12.1,17.4,13.9125,81.70833333333333,1.98625,3.35,0.0,73.45833333333333
2024-09-16,20.0,9.4,19.7,14.229166666666666,75.5,1.8691666666666666,3.55,0.0,31.083333333333332
2024-09-17,17.0,10.9,17.2,14.004166666666665,84.45833333333333,2.1404166666666664,3.67,0.0,85.29166666666667
2024-09-18,21.0,14.0,20.0,16.216666666666665,80.41666666666667,1.95875,3.61,0.0,74.20833333333333
2024-09-19,19.0,10.2,20.2,14.858333333333334,77.375,1.2283333333333333,2.5,0.0,52.916666666666664
2024-09-20,18.0,11.8,17.5,13.933333333333332,75.70833333333333,1.6845833333333333,2.26,0.0,66.91666666666667
2024-09-21,21.0,8.3,21.0,14.325000000000001,66.66666666666667,1.1933333333333334,2.02,0.0,20.0
2024-09-22,21.0,9.8,20.9,15.529166666666667,67.41666666666667,1.2195833333333332,2.42,0.0,40.916666666666664
2024-09-23,22.0,15.8,22.5,18.375,80.45833333333333,1.8949999999999998,3.32,0.0,64.04166666666667
2024-09-24,25.0,15.0,25.6,18.8,78.91666666666667,1.82125,2.93,0.0,41.291666666666664
2024-09-25,18.0,13.2,18.5,15.970833333333333,83.5,3.2854166666666664,4.63,3.8,84.5
2024-09-26,19.0,10.0,19.4,14.35,75.625,2.4675,4.0,0.30000000000000004,82.25
2024-09-27,19.0,11.6,18.3,14.829166666666666,78.5,3.0425,5.1,0.7,57.333333333333336
2024-09-28,16.0,8.7,15.9,12.0375,78.95833333333333,2.01625,3.47,0.0,69.375
2024-09-29,16.0,9.5,16.2,12.441666666666668,69.875,1.6045833333333333,3.1,0.0,81.83333333333333
2024-09-30,19.0,6.9,18.6,12.195833333333333,65.875,2.1016666666666666,3.14,0.0,9.333333333333334
2024-10-01,19.0,7.1,19.4,12.8375,70.75,1.7445833333333332,4.73,0.0,51.666666666666664
2024-10-02,17.0,9.8,17.1,13.095833333333333,65.04166666666667,1.5995833333333334,3.11,0.0,54.041666666666664
2024-10-03,19.0,5.9,18.4,11.441666666666668,68.45833333333333,1.8225,3.4,0.0,38.25
2024-10-04,16.0,8.8,14.9,10.979166666666666,83.875,3.1425,6.38,7.6000000000000005,63.0
